classification,Avg_PnL,Total_PnL,Win_Rate,Avg_Trade_Size,Avg_Fee
Extreme Fear,198.4561850015456,128401.151696,31.530139103554866,6539.688454404945,1.0820420680061824
Extreme Greed,33.592341421875,21499.09851,16.5625,3061.8353749999997,0.41362625137500003
Fear,79.54244868905892,519809.902183,38.82172915072686,34584.93108033665,5.777580924254017
Greed,58.08563804703423,222293.736806,34.72694016200679,32256.56286908806,6.561107588973086
Neutral,136.084118204389,316259.490707,49.87091222030981,27182.414780550775,5.115819677821782
